Category,Issue,Full text,Short text
Modo de juego o característica deshabilitada,"

Deshabilitadas las partidas normales de elección al azar

",Es posible que algunos sufráis incidencias con las partidas normales de elección al azar. Somos conscientes del problema y hemos deshabilitado de forma temporal la cola mientras trabajamos para solucionarlo. Las partidas normales de reclutamiento y personalizadas siguen estando disponibles.,"Hemos deshabilitado las
partidas normales de elección al azar mientras solucionamos una incidencia con
la cola. Las partidas normales de reclutamiento y personalizadas siguen estando
disponibles."
Modo de juego o característica deshabilitada,Dominion deshabilitado,"Es posible que algunos
sufráis incidencias con el modo de juego Dominion.
Somos conscientes del problema y hemos deshabilitado de forma temporal la cola
mientras trabajamos para solucionarlo. Todos los demás modos de juego siguen
estando disponibles. ","        
Hemos deshabilitado el
modo de juego Dominion mientras
solucionamos una incidencia con la cola. Todos los demás modos están
disponibles.

"
Modo de juego o característica deshabilitada,"

Bosque Retorcido deshabilitado

","Es posible que algunos
sufráis incidencias con las partidas en el Bosque Retorcido. Somos conscientes
del problema y hemos deshabilitado de forma temporal la cola mientras
trabajamos para solucionarlo. Todos los demás modos de juego siguen estando
disponibles. ","Hemos deshabilitado las
partidas en el Bosque Retorcido mientras solucionamos una incidencia con la
cola. Todos los demás mapas están disponibles."
Modo de juego o característica deshabilitada,"

Partidas personalizadas deshabilitadas

","Es posible que algunos
sufráis incidencias con las partidas personalizadas. Somos conscientes del
problema y hemos deshabilitado de forma temporal este modo de juego mientras
trabajamos para solucionarlo. Todos los demás modos de juego siguen estando
disponibles. ","Las partidas personalizadas
de League of Legends no está
disponible debido a labores de mantenimiento. Lo arreglaremos."
Modo de juego o característica deshabilitada,"

Emparejamiento deshabilitado

","Es posible que algunos
sufráis incidencias con el emparejamiento. Somos conscientes del problema y
hemos deshabilitado las colas de emparejamiento mientras trabajamos para
solucionarlo. Las partidas personalizadas siguen estando disponibles. ","   
Hemos deshabilitado de
forma temporal los emparejamientos mientras solucionamos una incidencia con la
cola. Las partidas personalizadas siguen estando disponibles.

"
Modo de juego o característica deshabilitada,"

Número mínimo de jugadores en las partidas personalizadas

","Estamos experimentando una
carga inusualmente grande en los servidores. Para descongestionar un poco el
sistema, hemos limitado de forma temporal las partidas personalizadas a un
número mínimo de NUMBER jugadores
mientras solucionamos la incidencia.","Las partidas personalizadas
están limitadas de forma temporal a un mínimo de NUMBER jugadores."
"

Incidencias en el chat

",Mantenimiento de emergencia del chat,"El chat de League of Legends no está disponible
debido a labores de mantenimiento. ",El chat no está disponible por mantenimiento.
Incidencias en el chat,La lista de amigos no carga,Es posible que algunos sufráis incidencias al cargar vuestra lista de amigos. Somos conscientes del problema y trabajamos lo más deprisa posible para solucionarlo,"Estamos trabajando para
arreglar una incidencia por la que no carga la lista de amigos."
Incidencias en el chat,"

Desconexión del chat

","Es posible que algunos
sufráis caídas intermitentes del chat. Somos conscientes del problema y
trabajamos lo más deprisa posible para solucionarlo. Si os desconectáis del
chat, usad el botón de Volver a conectar para restablecer la conexión.","Estamos trabajando para
arreglar una incidencia por la que se desconecta el chat."
Paro técnico/Incidencias de inicio de sesión,Incidencias generales de inicio de sesión,Algunos tenéis problemas para iniciar sesión. Somos conscientes del problema y trabajamos lo más deprisa posible para solucionarlo.,Estamos trabajando para arreglar una incidencia que puede causar que no podáis iniciar sesión.
Paro técnico/Incidencias de inicio de sesión,Mantenimiento de emergencia,League of Legends no está disponible debido a labores de mantenimiento.,League of Legends no está disponible por mantenimiento.
Paro técnico/Incidencias de inicio de sesión,Mantenimiento ampliado,Nos hemos topado con complicaciones inesperadas y vamos a ampliar la duración del mantenimiento.,Hemos ampliado la duración del mantenimiento.
Paro técnico/Incidencias de inicio de sesión,Error de inicio de partidas,Algunos de vosotros habéis sufrido incidencias a la hora de iniciar la partida. Somos conscientes del problema y trabajamos lo más deprisa posible para solucionarlo.,Estamos trabajando para arreglar una incidencia que puede provocar que no podáis iniciar partida.
Estamos trabajando para arreglar una incidencia por la que se os desconecta de las partidas de forma intermitente.,Desconexión,Es posible que algunos hayáis sufrido desconexiones de las partidas de forma intermitente. Somos conscientes del problema y trabajamos lo más deprisa posible para solucionarlo.,"Estamos trabajando para
arreglar una incidencia por la que se os desconecta de las partidas de forma
intermitente."
Mantenimiento programado,Mantenimiento programado,League of Legends no está disponible debido a labores de mantenimiento programado.,League of Legends no está disponible debido a labores de mantenimiento programado.
Mantenimiento programado,Mantenimiento ampliado,Hemos tenido incidencias con la versión y vamos a ampliar la duración del mantenimiento. ,Hemos ampliado la duración del mantenimiento programado.
