Category,Issue,Full text,Short text
Mode de jeu ou fonction désactivés,Parties normales en mode Aveugle désactivées,Certains d'entre vous rencontrent des problèmes lors de parties normales en mode Aveugle. Nous sommes au courant du problème et nous avons désactivé cette file pendant que nous travaillons à le résoudre. Vous pouvez toujours jouer des parties normales en mode Draft ou des parties personnalisées.,Parties normales en mode Aveugle désactivées pendant que nous corrigeons un problème lié à cette file. Vous pouvez toujours jouer des parties normales en mode Draft ou des parties personnalisées.
Mode de jeu ou fonction désactivés,Dominion désactivé,Certains d'entre vous rencontrent des problèmes lors de parties en mode Dominion. Nous sommes au courant du problème et nous avons désactivé cette file pendant que nous travaillons à le résoudre. Tous les autres modes de jeu sont disponibles.,Mode Dominion désactivé pendant que nous corrigeons un problème lié à cette file. Tous les autres modes de jeu sont disponibles.
Mode de jeu ou fonction désactivés,Forêt torturée désactivée,Certains d'entre vous rencontrent des problèmes lors de parties dans la Forêt torturée. Nous sommes au courant du problème et nous avons désactivé cette file pendant que nous travaillons à le résoudre. Tous les autres modes de jeu sont disponibles. ,Forêt torturée désactivée pendant que nous corrigeons un problème lié à cette file. Tous les autres modes de jeu sont disponibles.
Mode de jeu ou fonction désactivés,Parties personnalisées désactivées,Certains d'entre vous rencontrent des problèmes lors de parties personnalisées. Nous sommes au courant du problème et nous avons désactivé les parties personnalisées pendant que nous travaillons à le résoudre. Tous les autres modes de jeu sont disponibles. ,Parties personnalisées désactivées pendant que nous corrigeons un problème lié à cette file. Tous les autres modes de jeu sont disponibles.
Mode de jeu ou fonction désactivés,Matchmaking désactivé,Certains d'entre vous rencontrent des problèmes avec le matchmaking. Nous sommes au courant du problème et nous avons désactivé les files avec matchmaking pendant que nous travaillons à le résoudre. Vous pouvez toujours jouer des parties personnalisées.,Matchmaking désactivé pendant que nous corrigeons un problème. Vous pouvez toujours jouer des parties personnalisées.
Mode de jeu ou fonction désactivés,Nombre de joueurs minimum pour les parties personnalisées,"Nous rencontrons actuellement un problème de surcharge sur les serveurs. Pour soulager les serveurs, un nombre de joueurs minimum (NUMBER) est temporairement requis pour lancer une partie personnalisée, le temps que nous corrigions le problème.",Un nombre de joueurs minimum (NUMBER) est temporairement requis pour lancer une partie personnalisée.
Problèmes de messagerie,Maintenance d'urgence de la messagerie,Le système de messagerie de League of Legends est désactivé pour maintenance.,La messagerie est désactivée pour maintenance.
Problèmes de messagerie,La liste d'amis ne se charge pas,Certains d'entre vous rencontrent des problèmes de chargement de la liste d'amis. Nous sommes au courant de ce problème et nous travaillons à le résoudre au plus vite.,Nous travaillons à corriger un problème qui empêche le chargement de la liste d'amis.
Problèmes de messagerie,Déconnexion de la messagerie,"Certains d'entre vous sont confrontés à des déconnexions intempestives de la messagerie. Nous sommes au courant de ce problème et nous travaillons à le résoudre au plus vite. Si vous rencontrez ce problème de déconnexion, cliquez sur Reconnexion messagerie pour rétablir la connexion.",Nous travaillons à corriger un problème qui provoque des déconnexions de la messagerie.
Jeu indisponible/Problèmes de connexion,Problèmes de connexion,Certains d'entre vous ont des problèmes pour se connecter. Nous sommes au courant de ce problème et nous travaillons à le résoudre au plus vite.,Nous travaillons à corriger un problème qui vous empêche de vous connecter.
Jeu indisponible/Problèmes de connexion,Maintenance d'urgence,Les serveurs de League of Legends sont désactivés pour maintenance.,Les serveurs de League of Legends sont désactivés pour maintenance.
Jeu indisponible/Problèmes de connexion,Prolongation de la maintenance,Nous avons rencontré des difficultés imprévues durant la maintenance et avons été contraints de la prolonger.,Nous avons été contraints de prolonger la maintenance.
Jeu indisponible/Problèmes de connexion,Plantage intempestif du jeu,Certains d'entre vous sont confrontés à des plantages intempestifs du jeu. Nous sommes au courant du problème et nous travaillons à le résoudre au plus vite.,Nous travaillons à corriger un problème qui provoque des plantages intempestifs du jeu.
Jeu indisponible/Problèmes de connexion,Déconnexion,Certains d'entre vous sont confrontés à des déconnexions intempestives en cours de partie. Nous sommes au courant du problème et nous travaillons à le résoudre au plus vite.,Certains d'entre vous sont confrontés à des déconnexions intempestives en cours de partie. Nous sommes au courant du problème et nous travaillons à le résoudre au plus vite.
Maintenance prévue,Maintenance prévue,League of Legends est actuellement hors ligne pour une maintenance prévue.,League of Legends est actuellement hors ligne pour une maintenance prévue.
Maintenance prévue,Prolongation de la maintenance,Nous avons rencontré des difficultés imprévues lors de la mise à jour et nous avons été contraints de prolonger la maintenance. ,Nous avons été contraints de prolonger la maintenance.
