Category,Issue,Full text,Short text
Spielmodus oder Funktion deaktiviert,Freie Wahl deaktiviert,"Manche von euch haben eventuell ein Problem mit Spielen mit freier Auswahl. Wir sind uns des Problems bewusst und haben die Anmeldung vorübergehend deaktiviert, während wir daran arbeiten, das Problem zu beheben. Spiele mit abwechselnder Wahl und freie Spiele sind weiterhin verfügbar.","Wir haben die Freie Auswahl deaktiviert, während wir ein Problem mit der Anmeldung beheben. Abwechselnde Wahl und freie Spiele sind verfügbar."
Spielmodus oder Funktion deaktiviert,Dominion deaktiviert,"Manche von euch haben eventuell ein Problem mit Dominion. Wir sind uns des Problems bewusst und haben die Anmeldung vorübergehend deaktiviert, während wir daran arbeiten, das Problem zu beheben. Alle anderen Spielmodi sind weiterhin verfügbar. ","Wir haben Dominion deaktiviert, während wir ein Problem mit der Anmeldung beheben. Alle anderen Spielmodi sind verfügbar."
Spielmodus oder Funktion deaktiviert,Gewundener Wald deaktiviert,"Manche von euch haben eventuell ein Problem mit dem Gewundenen Wald. Wir sind uns des Problems bewusst und haben die Anmeldung vorübergehend deaktiviert, während wir daran arbeiten, das Problem zu beheben. Alle anderen Karten sind weiterhin verfügbar. ","Wir haben den Gewundenen Wald deaktiviert, während wir ein Problem mit der Anmeldung beheben. Alle anderen Karten sind verfügbar."
Spielmodus oder Funktion deaktiviert,Freie Spiele deaktiviert,"Manche von euch haben eventuell ein Problem mit freien Spielen. Wir sind uns des Problems bewusst und haben diesen Spielmodus vorübergehend deaktiviert, während wir daran arbeiten, das Problem zu beheben. Alle anderen Spielmodi sind weiterhin verfügbar.","Wir haben freie Spiele vorübergehend deaktiviert, während wir ein Problem beheben. Alle anderen Spielmodi sind verfügbar. "
Spielmodus oder Funktion deaktiviert,Matchmaking deaktiviert,"Manche von euch haben eventuell ein Problem mit dem Matchmaking. Wir sind uns des Problems bewusst und haben alle Matchmaking- Anmeldungen deaktiviert, während wir daran arbeiten, das Problem zu beheben. Freie Spiele sind weiterhin verfügbar. ","Wir haben das Matchmaking vorübergehend deaktiviert, während wir ein Problem mit der Anmeldung beheben. Freie Spiele sind verfügbar."
Spielmodus oder Funktion deaktiviert,Mindestanzahl an Spielern für freie Spiele,"Im Augenblick sind die Server ungewöhnlich stark ausgelastet. Um den Druck auf das System zu verringern, haben wir eine Mindestanzahl an Spielern von NUMBER für freie Spiele eingerichtet, während wir das Problem beheben.",Für freie Spiele besteht momentan eine Mindestanzahl von NUMBER Spielern.
Chatprobleme,Notfallwartung des Chats,Der League of Legends-Chat ist momentan wegen einer Wartung nicht verfügbar. ,Der Chat ist momentan wegen einer Wartung nicht verfügbar.
Chatprobleme,Freundesliste wird nicht eladen,Manche von euch haben eventuell ein Problem beim Laden ihrer Freundesliste. Wir sind uns des Problems bewusst und arbeiten so schnell es geht an dessen Lösung.,"Wir arbeiten an der Lösung eines Problems, auf Grund dessen eure Freundesliste eventuell nicht geladen wird."
Chatprobleme,Verbindung zum Chat unterbrochen,"Manche von euch haben eventuell ein Problem mit zeitweiligen Chatausfällen. Wir sind uns des Problems bewusst und arbeiten so schnell es geht an dessen Lösung. Sollte eure Chatverbindung unterbrochen werden, nutzt die Schaltfläche „Verbindung wiederherstellen“, um erneut verbunden zu werden.","Wir arbeiten an der Lösung eines Problems, auf Grund dessen eure Verbindung zum Chat womöglich unterbrochen wird."
Ausfälle/Einlogprobleme,Allgemeine Einlogprobleme,Manche von euch haben eventuell ein Problem sich einzuloggen. Wir sind uns des Problems bewusst und arbeiten so schnell es geht an dessen Lösung.,"Wir arbeiten an der Lösung eines Problems, auf Grund dessen ihr euch womöglich nicht einloggen könnt."
Ausfälle/Einlogprobleme,Notfallwartung,League of Legends ist wegen einer Wartung momentan nicht verfügbar.,League of Legends ist wegen einer Wartung momentan nicht verfügbar.
Ausfälle/Einlogprobleme,Wartung ausgeweitet,"Es sind unvorhergesehene Komplikationen aufgetreten, weshalb wir das Zeitfenster für unsere Wartung ausgeweitet haben.",Wir haben unsere Wartungszeit verlängert.
Ausfälle/Einlogprobleme,Spiele stürzen ab,"Manche von euch haben eventuell ein Problem, auf Grund dessen Spiele zeitweise abstürzen. Wir sind uns des Problems bewusst und arbeiten so schnell es geht an dessen Lösung.","Wir arbeiten an der Lösung eines Problems, auf Grund dessen euer Spiel womöglich zeitweise abstürzt."
Ausfälle/Einlogprobleme,Verbindungsabbruch,Bei manchen von euch wird eventuell zeitweise die Verbindung zu Spielen unterbrochen. Wir sind uns des Problems bewusst und arbeiten so schnell es geht an dessen Lösung.,"Wir arbeiten an der Lösung eines Problems, auf Grund dessen eure Verbindung zu Spielen womöglich zeitweise unterbrochen wird."
Planmäßige Wartung,Planmäßige Wartung,League of Legends ist wegen einer planmäßigen Wartung momentan nicht verfügbar.,League of Legends ist wegen einer planmäßigen Wartung momentan nicht verfügbar.
Planmäßige Wartung,Wartung ausgeweitet,"Es sind unvorhergesehene Komplikationen mit der Aktualisierung aufgetreten, weshalb wir unsere Wartung ausweiten.","Es sind unvorhergesehene Komplikationen mit der Aktualisierung aufgetreten, weshalb wir unsere Wartung ausweiten."
